Timestamp,Available,,User._avg (%),Idle._avg (%)
1633390800,85.26,,6.595,91.855
1633391100,85.94,,6.275,92.215
1633391400,83.72,,7.335,91.055
1633391700,84.145,,7.105,91.25
1633392000,84.895,,6.765,91.66
1633392300,84.695,,6.855,91.55
1633392600,81.98,,8.21,90.19
1633392900,85.865,,6.295,92.16
1633393200,84.435,,6.98,91.415
1633393500,84.38,,7.005,91.385
1633393800,84.245,,7.085,91.33
1633394100,86.105,,6.2,92.305
1633394400,85.35,,6.56,91.91
1633394700,86.16,,6.185,92.345
1633395000,83.295,,7.53,90.825
1633395300,84.43,,7.005,91.435
1633395600,84.75,,6.84,91.59
1633395900,86.035,,6.21,92.245
1633396200,84.14,,7.145,91.285
1633396500,86.585,,5.985,92.57
1633396800,84.075,,7.155,91.23
1633397100,85.145,,6.675,91.82
1633397400,83.68,,7.36,91.04
1633397700,86.41,,6.065,92.475
1633398000,85.03,,6.705,91.735
1633398300,86.9,,5.84,92.74
1633398600,83.56,,7.42,90.98
1633398900,84.945,,6.755,91.7
1633399200,85.215,,6.63,91.845
1633399500,86.48,,6.02,92.5
1633399800,83.475,,7.465,90.94
1633400100,86.435,,6.035,92.47
1633400400,83.63,,7.36,90.99
1633400700,84.71,,6.86,91.57
1633401000,84.385,,7.02,91.405
1633401300,86.14,,6.15,92.29
1633401600,85.425,,6.55,91.975
1633401900,86.26,,6.145,92.405
1633402200,84.015,,7.21,91.225
1633402500,84.275,,7.095,91.37
1633402800,85.175,,6.645,91.82
1633403100,85.515,,6.47,91.985
1633403400,84.885,,6.81,91.695
1633403700,86.07,,6.2,92.27
1633404000,84.8,,6.85,91.65
1633404300,84.405,,7.03,91.435
1633404600,84.48,,7.015,91.495
1633404900,86.26,,6.125,92.385
1633405200,86.405,,6.11,92.515
1633405500,86.305,,6.115,92.42
1633405800,84.835,,6.845,91.68
1633406100,84.335,,7.05,91.385
1633406400,85.23,,6.63,91.86
1633406700,85.525,,6.47,91.995
1633407000,84.545,,7,91.545
1633407300,85.855,,6.315,92.17
1633407600,85.4,,6.56,91.96
1633407900,84.305,,7.055,91.36
1633408200,85.195,,6.67,91.865
1633408500,85.645,,6.405,92.05
1633408800,86.16,,6.205,92.365
1633409100,85.445,,6.5,91.945
1633409400,84.65,,6.935,91.585
1633409700,83.92,,7.225,91.145
1633410000,85.38,,6.56,91.94
1633410300,85.335,,6.56,91.895
1633410600,84.75,,6.895,91.645
1633410900,85.79,,6.355,92.145
1633411200,84.655,,6.895,91.55
1633411500,84.62,,6.895,91.515
1633411800,84.515,,6.975,91.49
1633412100,86.47,,6.025,92.495
1633412400,85.635,,6.43,92.065
1633412700,86.69,,5.925,92.615
1633413000,84.225,,7.105,91.33
1633413300,84.925,,6.75,91.675
1633413600,85.24,,6.62,91.86
1633413900,86.185,,6.16,92.345
1633414200,82.39,,8.035,90.425
1633414500,86.355,,6.075,92.43
1633414800,83.43,,7.47,90.9
1633415100,83.8,,7.09,90.89
1633415400,83.75,,7.305,91.055
1633415700,86.185,,6.15,92.335
1633416000,84.035,,7.015,91.05
1633416300,85.89,,6.285,92.175
