Timestamp,,,,,Total._avg (B),Use._avg (B),Available_avg
1632834000,,,,,23522713600,18061840261,5460873339
1632837600,,,,,23522713600,18244642063,5278071537
1632841200,,,,,23522713600,18359199729,5163513871
1632844800,,,,,23522713600,18436142740,5086570860
1632891600,,,,,23522713600,13625204485,9897509115
1632895200,,,,,23522713600,15216345728,8306367872
1632898800,,,,,23522713600,15789460721,7733252879
1632902400,,,,,23522713600,16172038702,7350674898
1632906000,,,,,23522713600,16437209595,7085504005
1632909600,,,,,23522713600,16455863987,7066849613
1632913200,,,,,23522713600,16535509171,6987204429
1632916800,,,,,23522713600,17108042153,6414671447
1632920400,,,,,23522713600,18222463345,5300250255
1632924000,,,,,23522713600,18286455491,5236258109
1632927600,,,,,23522713600,18425860787,5096852813
1632931200,,,,,23522713600,18462194775,5060518825
1632974400,,,,,23244207908,13793694003,9450513905
1632978000,,,,,23522713600,15222155668,8300557932
1632981600,,,,,23522713600,15608830623,7913882977
1632985200,,,,,23522713600,17421948283,6100765317
1632988800,,,,,23522713600,17905774812,5616938788
1632992400,,,,,23522713600,18022706396,5500007204
1632996000,,,,,23522713600,18153868964,5368844636
1632999600,,,,,23522713600,18254961700,5267751900
1633003200,,,,,23522713600,18290782879,5231930721
1633006800,,,,,23522713600,18356683622,5166029978
1633010400,,,,,23522713600,18330712300,5192001300
1633014000,,,,,23522713600,18338227313,5184486287
1633017600,,,,,23522713600,18292209034,5230504566
1633021200,,,,,23522713600,18314393723,5208319877
1633075200,,,,,23522713600,10831808246,12690905354
1633078800,,,,,23522713600,14687850092,8834863508
1633082400,,,,,23522713600,15598538614,7924174986
1633086000,,,,,23522713600,15900861471,7621852129
1633089600,,,,,23522713600,16139418537,7383295063
1633093200,,,,,23522713600,16784312504,6738401096
1633096800,,,,,23522713600,18054877256,5467836344
1633100400,,,,,23522713600,18119239639,5403473961
1633330800,,,,,22389408297,12572578314,9816829983
1633334400,,,,,23522709504,15181479941,8341229563
1633338000,,,,,23522709504,15655054136,7867655368
1633341600,,,,,23522709504,18143138135,5379571369
1633345200,,,,,23522709504,19109111378,4413598126
1633348800,,,,,23522709504,19081257047,4441452457
1633352400,,,,,23522709504,19360244372,4162465132
1633356000,,,,,23522709504,19542667305,3980042199
1633359600,,,,,23522709504,19588972099,3933737405
1633363200,,,,,23522709504,19700198605,3822510899
1633366800,,,,,23522709504,19698219720,3824489784
1633370400,,,,,23522709504,19758029809,3764679695
1633374000,,,,,23522709504,19714976630,3807732874
1633377600,,,,,23522709504,19699464310,3823245194
1633381200,,,,,23522709504,19693035643,3829673861
1633384800,,,,,23522709504,19691911941,3830797563
1633388400,,,,,23522709504,19703890673,3818818831
1633392000,,,,,23522709504,19728338529,3794370975
1633395600,,,,,23522709504,19698746911,3823962593
1633399200,,,,,23522709504,19732295050,3790414454
1633402800,,,,,23522709504,19754232371,3768477133
1633406400,,,,,23522709504,19787500764,3735208740
1633410000,,,,,23522709504,19819788897,3702920607
1633413600,,,,,23522709504,19868865091,3653844413
1633417200,,,,,23522709504,19974788767,3547920737
1633420800,,,,,23522709504,19842074296,3680635208
1633424400,,,,,23522709504,20145212989,3377496515
1633428000,,,,,23522709504,20189080719,3333628785
1633431600,,,,,23522709504,20199515320,3323194184
1633435200,,,,,23522709504,20130924718,3391784786
1633438800,,,,,23522709504,20121910001,3400799503
1633442400,,,,,23522709504,20171917926,3350791578
1633446000,,,,,23522709504,19589476695,3933232809
1633449600,,,,,23522709504,19618718423,3903991081
1633496400,,,,,23522709504,13991070336,9531639168
1633500000,,,,,23522709504,15430241859,8092467645
1633503600,,,,,23522709504,16007551007,7515158497
1633507200,,,,,23522709504,16438725084,7083984420
1633510800,,,,,23522709504,16459769226,7062940278
1633514400,,,,,23522709504,16584755092,6937954412
1633518000,,,,,23522709504,18555809705,4966899799
1633521600,,,,,23522709504,19054871434,4467838070
1633525200,,,,,23522709504,19340678236,4182031268
1633528800,,,,,23522709504,18324050990,5198658514
1633532400,,,,,23522709504,18004858732,5517850772
1633536000,,,,,23522709504,17996589737,5526119767
1633539600,,,,,23522709504,17984096271,5538613233
1633586400,,,,,23522713600,4153480340,19369233260
1633590000,,,,,23522713600,14957527588,8565186012
1633593600,,,,,23522713600,17429801334,6092912266
1633597200,,,,,23522713600,17579673457,5943040143
1633600800,,,,,23522713600,17568741699,5953971901
1633604400,,,,,23522713600,17648339354,5874374246
1633608000,,,,,23522713600,17773577354,5749136246
1633611600,,,,,23522713600,18086158689,5436554911
1633615200,,,,,23522713600,18423193738,5099519862
1633618800,,,,,23522713600,19633820687,3888892913
1633622400,,,,,23522713600,19858918195,3663795405
1633690800,,,,,23522713600,15671414195,7851299405
1633694400,,,,,23522713600,18271275412,5251438188
1633698000,,,,,23522713600,18828932398,4693781202
1633701600,,,,,23522713600,18897658056,4625055544
1633705200,,,,,23522713600,18925326172,4597387428
1633708800,,,,,23522713600,18955416100,4567297500
1633712400,,,,,23522713600,18990315510,4532398090
1633939200,,,,,23106811766,13444128486,9662683279
1633942800,,,,,23522713600,15500469187,8022244413
1633946400,,,,,23522713600,15946839859,7575873741
1633950000,,,,,23522713600,16224467215,7298246385
1633953600,,,,,23522713600,16429018271,7093695329
1633957200,,,,,23522713600,16739928571,6782785029
1633960800,,,,,23522713600,16816361405,6706352195
1633964400,,,,,23522713600,16860048056,6662665544
1633968000,,,,,23522713600,16898926387,6623787213
1633971600,,,,,23522713600,16946200791,6576512809
1634022000,,,,,23522713600,8439668511,15083045089
1634025600,,,,,23522713600,15006859233,8515854367
1634029200,,,,,23522713600,15826760038,7695953562
1634032800,,,,,23522713600,16302163574,7220550026
1634036400,,,,,23522713600,18978607365,4544106235
1634040000,,,,,23522713600,18892015468,4630698132
1634043600,,,,,23522713600,19146085356,4376628244
1634047200,,,,,23522713600,19486831319,4035882281
1634050800,,,,,23522713600,19434535506,4088178094
1634054400,,,,,23522713600,19542809037,3979904563
1634104800,,,,,23522713600,11806772229,11715941371
1634108400,,,,,23522713600,15112258836,8410454764
1634112000,,,,,23522713600,15743472758,7779240842
1634115600,,,,,23522713600,16195102520,7327611080
1634119200,,,,,23522713600,16377913580,7144800020
1634122800,,,,,23522713600,16550521605,6972191995
1634126400,,,,,23522713600,16645703306,6877010294
1634130000,,,,,23522713600,16685210783,6837502817
1634133600,,,,,23522713600,16727531735,6795181865
1634137200,,,,,23522713600,16796507034,6726206566
1634140800,,,,,23522713600,16870006538,6652707062
1634198400,,,,,23522709504,12516783406,11005926098
1634202000,,,,,23522709504,15004488131,8518221373
1634205600,,,,,23522709504,15620636472,7902073032
1634209200,,,,,23522709504,15929670523,7593038981
1634212800,,,,,23522709504,16072248438,7450461066
1634216400,,,,,23522709504,16391120963,7131588541
1634220000,,,,,23522709504,16476024366,7046685138
1634223600,,,,,23522709504,16532863176,6989846328
1634227200,,,,,23522709504,16613124598,6909584906
1634540400,,,,,23244207908,13821213332,9422994575
1634544000,,,,,23522713600,15373337508,8149376092
1634547600,,,,,23522713600,15664455229,7858258371
1634551200,,,,,23522713600,16497328102,7025385498
1634554800,,,,,23522713600,17187482547,6335231053
1634558400,,,,,23522713600,17207191828,6315521772
1634562000,,,,,23522713600,17530716180,5991997420
1634565600,,,,,23522713600,17663569659,5859143941
1634569200,,,,,23522713600,17760759291,5761954309
1634572800,,,,,23522713600,17753720264,5768993336
1634576400,,,,,23522713600,17841890913,5680822687
1634626800,,,,,23522713600,13370653783,10152059817
1634630400,,,,,23522713600,15214570301,8308143299
1634634000,,,,,23522713600,15614802468,7907911132
1634637600,,,,,23522713600,15979074540,7543639060
